t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
    33495 ;      214 ;     E   ;          50 ;       ? ; entrada
    33521 ;      143 ;     O   ;         500 ;       ? ; entrada
    30405 ;      101 ;     E   ;          50 ;       ? ; entrada
    30413 ;      121 ;     N   ;          50 ;   21195 ; saida
    33566 ;      214 ;     E   ;          50 ;   21042 ; saida
    33638 ;      200 ;     O   ;         450 ;   21922 ; saida
    33909 ;      174 ;     O   ;         500 ;       ? ; entrada
    34690 ;      221 ;     O   ;         350 ;       ? ; entrada
    34447 ;      263 ;     O   ;         500 ;       ? ; entrada
    34820 ;      156 ;     E   ;         350 ;   24715 ; saida
    34979 ;      248 ;     E   ;         200 ;   20688 ; saida
    36038 ;      111 ;     O   ;         300 ;       ? ; entrada
    36076 ;      111 ;     O   ;         300 ;   28748 ; saida
    36117 ;      160 ;     O   ;         500 ;       ? ; entrada
    36143 ;      160 ;     O   ;         500 ;   25969 ; saida
    36152 ;      170 ;     O   ;          50 ;       ? ; entrada
    36178 ;      170 ;     O   ;          50 ;   25842 ; saida
    36196 ;      151 ;     O   ;         250 ;       ? ; entrada
    36192 ;       49 ;     E   ;          50 ;       ? ; entrada
    36224 ;      147 ;     O   ;         100 ;       ? ; entrada
    36240 ;       49 ;     E   ;          50 ;   31725 ; saida
    36254 ;      147 ;     O   ;         100 ;   25800 ; saida
    36276 ;      173 ;     O   ;         250 ;       ? ; entrada
    36309 ;      173 ;     O   ;         250 ;   25614 ; saida
    36321 ;      129 ;     O   ;         400 ;       ? ; entrada
    36345 ;      129 ;     O   ;         400 ;   27605 ; saida
    36348 ;      191 ;     O   ;         200 ;       ? ; entrada
    36373 ;      191 ;     O   ;         200 ;   25064 ; saida
    36384 ;      193 ;     O   ;         450 ;       ? ; entrada
    36410 ;      193 ;     O   ;         450 ;   24976 ; saida
    36422 ;      183 ;     N   ;         450 ;       ? ; entrada
    36444 ;      279 ;     N   ;         300 ;       ? ; entrada
    36455 ;      183 ;     N   ;         450 ;   25385 ; saida
    36498 ;      279 ;     N   ;         300 ;   20143 ; saida
    36503 ;       89 ;     E   ;         350 ;   31174 ; saida
    36579 ;      195 ;     O   ;         350 ;       ? ; entrada
    36596 ;       54 ;     N   ;         100 ;   31964 ; saida
    36618 ;      195 ;     O   ;         350 ;   25049 ; saida
    36674 ;      199 ;     O   ;         100 ;       ? ; entrada
    36725 ;      199 ;     O   ;         100 ;   25026 ; saida
    36749 ;      176 ;     O   ;         450 ;       ? ; entrada
    36781 ;      176 ;     O   ;         450 ;   26059 ; saida
    36806 ;      181 ;     O   ;         400 ;       ? ; entrada
    36844 ;      181 ;     O   ;         400 ;   25853 ; saida
    36899 ;      184 ;     O   ;         200 ;       ? ; entrada
    37422 ;      227 ;     O   ;          50 ;       ? ; entrada
    37478 ;      249 ;     O   ;         450 ;       ? ; entrada
    37501 ;      250 ;     O   ;         400 ;       ? ; entrada
    37520 ;      155 ;     O   ;         150 ;       ? ; entrada
    37542 ;      231 ;     O   ;         350 ;       ? ; entrada
    37562 ;      240 ;     O   ;         250 ;       ? ; entrada
    37608 ;      240 ;     O   ;         250 ;   23651 ; saida
    37668 ;      108 ;     O   ;         250 ;       ? ; entrada
    37691 ;      253 ;     O   ;         450 ;       ? ; entrada
    37711 ;      255 ;     O   ;         500 ;       ? ; entrada
    37730 ;      227 ;     O   ;          50 ;   23934 ; saida
    40222 ;      180 ;     O   ;         250 ;       ? ; entrada
    40253 ;      180 ;     O   ;         250 ;   29295 ; saida
